"id","amount","decision_date","year","donor","recipient","emergency_id","appeal_id","status","is_allocation","project_code","appeal_title","emergency_title"
205431,651466,"2013-12-13T00:00:00",2025,"United Kingdom ","Norwegian Refugee Council",16440,0,"Commitment",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
205443,6521469,"2013-12-13T00:00:00",2014,"United Kingdom ","International Rescue Committee",16440,1048,"Commitment",0,"SRRP-14/MS/64748/5179","Syria Regional Refugee Response Plan (RRP) 2014","Syrian Arab Republic - Civil Unrest 2014"
205451,13321435,"2013-12-13T00:00:00",2014,"United Kingdom ","United Nations High Commissioner for Refugees",16440,1048,"Paid contribution",0,"SRRP-14/MS/64839/120","Syria Regional Refugee Response Plan (RRP) 2014","Syrian Arab Republic - Civil Unrest 2014"
205753,4550070,"2013-09-27T00:00:00",2014,"United Kingdom ","Danish Refugee Council",16440,1048,"Commitment",0,"SRRP-14/MS/64706/5181","Syria Regional Refugee Response Plan (RRP) 2014","Syrian Arab Republic - Civil Unrest 2014"
205788,4397394,"2013-12-13T00:00:00",2014,"United Kingdom ","United Nations Relief and Works Agency for Palestine Refugees in the Near East",16440,1048,"Commitment",0,"SRRP-14/MS/64848/5593","Syria Regional Refugee Response Plan (RRP) 2014","Syrian Arab Republic - Civil Unrest 2014"
206835,980302,"2014-01-15T00:00:00",2014,"Australia","Various Recipients (details not yet provided)",16440,0,"Pledge",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206727,13793,"2014-01-15T00:00:00",2014,"Cyprus","Various Recipients (details not yet provided)",16440,0,"Pledge",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206819,140581068,"2014-01-24T00:00:00",2014,"Canada","Various Recipients (details not yet provided)",16440,0,"Pledge",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206820,1384416,"2014-01-31T00:00:00",2014,"Private (individuals & organisations)","United Nations High Commissioner for Refugees",16440,1048,"Paid contribution",0,"SRRP-14/MS/64836/120","Syria Regional Refugee Response Plan (RRP) 2014","Syrian Arab Republic - Civil Unrest 2014"
206821,160368,"2014-01-31T00:00:00",2014,"Norway","United Nations High Commissioner for Refugees",16440,1048,"Paid contribution",0,"SRRP-14/MS/64839/120","Syria Regional Refugee Response Plan (RRP) 2014","Syrian Arab Republic - Civil Unrest 2014"
206827,54529860,"2014-01-31T00:00:00",2014,"European Commission Humanitarian Aid Office","United Nations High Commissioner for Refugees",16440,1048,"Paid contribution",0,"SRRP-14/MS/67244/R/120","Syria Regional Refugee Response Plan (RRP) 2014","Syrian Arab Republic - Civil Unrest 2014"
206828,8883038,"2014-01-31T00:00:00",2014,"United Kingdom ","United Nations High Commissioner for Refugees",16440,1048,"Paid contribution",0,"SRRP-14/MS/64836/120","Syria Regional Refugee Response Plan (RRP) 2014","Syrian Arab Republic - Civil Unrest 2014"
206333,1.3e+07,"2014-01-15T00:00:00",2014,"Iraq","Various Recipients (details not yet provided)",16440,0,"Pledge",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206334,6896552,"2014-01-15T00:00:00",2014,"Luxembourg","Various Recipients (details not yet provided)",16440,0,"Pledge",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206335,1.64e+08,"2014-01-15T00:00:00",2014,"United Kingdom ","Various Recipients (details not yet provided)",16440,0,"Pledge",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
206336,35298629,"2014-01-15T00:00:00",2014,"Sweden","Various Recipients (details not yet provided)",16440,0,"Pledge",0,NA,NA,"Syrian Arab Republic - Civil Unrest 2014"
